Ticker,marketCap,trailingPE,forwardPE,priceToBook,trailingEps,forwardEps,bookValue,payoutRatio,beta,fiveYearAvgDividendYield,52WeekChange,averageVolume,enterpriseToRevenue,profitMargins
AVGO,0.9928613742579232,1.3315749230885237,0.10978992455191866,-0.3282954761695542,-0.5097796710888733,-0.30837014868229173,-0.09955566333310678,0.22323381286637572,0.575192068057576,0.20230872826692886,2.3644902252996345,0.3968542462584513,-0.5527431617279903,-0.3565279492914341
AXP,-0.25326464924562897,-0.17376477116021968,-0.11111773829204566,-0.18082564998504422,0.2367418489176546,0.10396947911065214,-0.09994486691138113,-0.20108775153945488,0.6456780928274869,-0.6342620176242749,1.398752272242288,-0.38706646151262875,-0.26365414989710967,0.09206928044331146
BA,-0.38115581618727234,-0.3917632698029996,9.432290413201981,-0.49468741495325963,-1.3714303216158883,-0.5709775093995856,-0.10178114695173572,-0.2599201467402208,1.5802705694063106,0.07859051936752548,-1.7556225078800034,-0.005629177470274387,-0.5793194663870461,-2.035508297208642
BAC,-0.04846213920856913,-0.22939316639178067,-0.2759645694256166,-0.4380901582834841,-0.4201001378413359,-0.4240095303314861,-0.10010092328034852,-0.15477982813055352,0.935453972437122,0.06091648952475369,0.49479894148528764,0.8174339922823286,-0.27512593608087477,0.7288228234540358
BK,-0.4847818782036416,-0.21871463190978993,-0.2862273979143686,-0.42795561353646205,-0.3164839203728973,-0.29178442063698895,-0.09972575700218345,-0.1453346621058898,0.24364669228799332,0.3613749968518761,1.0194863209852425,-0.3385621995339968,-1.3276623184413232,0.3497330596601542
BKNG,-0.31254775907938875,-0.04502503486634727,-0.003956215586255868,-0.49468741495325963,8.376977319508315,9.075466207615676,-0.1034268946482617,-0.2073351801483418,1.092089583036925,-1.3824626143016192,0.9361118512065205,-0.4738277325033069,0.46671623713593563,0.4892110148960317
BLK,-0.32651207709715907,-0.13621959786253765,-0.07282805873990572,-0.3282856354226085,1.8709695595163607,1.6694779207200638,-0.09454667912342636,-0.11158079841515665,0.898905663297168,0.05502514624382958,0.37022796383404605,-0.4595452586184788,0.6630749773147151,1.2240927224277274
BMY,-0.4016929896960637,-0.3917632698029996,-0.3743409080026362,-0.20543345248123204,-0.8042678681044354,-0.26874868724073514,-0.10071632400403209,-0.082741971016232,-1.3723106903999724,0.6382681310553028,-0.3858139965982488,-0.07091601801591588,-0.34510383180184195,-2.3764885851733792
BRK-B,0.8990341401631704,-0.30089997043131494,-0.052846277797072815,-0.49464153126299704,2.4090467590015856,0.3324839544014903,9.899993006251908,-0.2599201467402208,-0.24975548110138565,-1.3824626143016192,0.2020884946092056,-0.345218088464114,-1.0779597725080363,1.0328506539610949
C,-0.3701842527140471,-0.1932467794821225,-0.3342357464814854,-0.46414332103524314,-0.37465442842535407,-0.2613772525539339,-0.09857977376883166,-0.07856715103343079,1.19912391694679,0.8385738026067178,0.6956535031806865,0.02047495154694984,-0.9496669636862631,-0.3070781428105639
CAT,-0.2966279936269696,-0.2184209701754203,-0.17121177763513476,-0.07953159356925181,0.7178604259348487,0.42785189066198126,-0.09999107111906982,-0.1869348186721004,0.33501746513787806,-0.11582380890296559,0.38668652728377784,-0.3986446921293695,-0.3445302424926537,0.058279838737629736
CHTR,-0.4897194890701771,-0.2749410070956559,-0.3178050868613618,-0.3267906484336095,1.345617158667611,1.0558059830438613,-0.09864275872290508,-0.2599201467402208,0.18099244804807213,-1.3824626143016192,-0.6918523108876017,-0.4334473189883,-0.4410844428726766,-0.5388212235596308
CL,-0.4564596027656192,-0.12828927876949,-0.018081468746004678,7.20428780493701,-0.37647225680199325,-0.4147952369729846,-0.10089741432026278,-0.09316421664705488,-1.440186121659887,-0.021562316408181976,-0.0377151308720848,-0.31460122917120165,-0.18029250362841653,-0.0957012700398607
CMCSA,-0.3427087845973286,-0.28617862437837654,-0.3472846505450784,-0.4164640977284283,-0.3625355725810922,-0.3908380742408806,-0.10039815282223909,-0.16256689185784945,0.09745345572817724,0.025568429839209834,-0.9948691713226565,0.22501243788861414,-0.5938503955531487,-0.2762202051798043
COF,-0.46530415131543307,-0.22077937995745883,-0.29061547130534476,-0.44155513130881996,0.05435306846151426,0.12884807117860636,-0.09742912667681165,-0.19282694345266382,1.2147874780067702,-0.3455861968590004,0.6633974911245616,-0.37847066302123933,-0.419479245559919,0.07332308333262509
COP,-0.37557741556679075,-0.27417501577315906,-0.2816680073879974,-0.39251582691428616,-0.07653057465651336,-0.22267722044822746,-0.09991873558560765,-0.1573557749641685,0.6613416538874672,0.18463469842415706,-1.0385305685039612,-0.22352147088390817,-0.5468160721997117,0.15177938975883126
COST,0.08371714181694966,0.17863022265529338,0.5352001655481129,0.318834554669516,0.44397428385453164,0.3140553676844873,-0.09969084664832858,-0.1816348698996081,-0.463824148921116,-0.9818512711987891,0.766046662608288,-0.41263500470833403,-0.6479589870532407,-0.9727610023501253
CRM,-0.06535157986437536,0.1819500711626814,0.14142432312273137,-0.24185320216294828,-0.22013901641101588,-0.07985567339145351,-0.09950522964574345,-0.21864568831083864,0.8388620125672439,-1.3824626143016192,0.4256257979419588,-0.2588480089720264,0.6829594066999077,-0.004593209185042873
CSCO,-0.222557007684168,-0.14489000300930352,-0.22135418282271943,-0.26825520295615807,-0.44615567790649874,-0.41295237830128423,-0.10065013836263734,-0.057870703033586525,-2.5235824283085226,0.4261797729420397,-0.13290250584536262,0.18339777905991106,-0.08392949968478955,0.17175990437474817
CVS,-0.47761846909983285,-0.2688068847639395,-0.3778030621511832,-0.45836137372954094,-0.34859888836019115,-0.29408799397661434,-0.09954759302864655,-0.06453266461897846,-1.1060301523803076,0.373157683413724,-1.7309069837367324,-0.02618524371411955,-0.9056917833151634,-1.0907154612292194
CVX,-0.16171963225137778,-0.22566152223683172,-0.24527251866376432,-0.4170893424070846,-0.03653835037044936,-0.08400210540277928,-0.0989224302086329,-0.051682494690285435,0.29063737546793417,1.233293802428624,-0.5699915766068191,-0.20796646643497704,-0.6783592204402183,-0.5247809313679949
DE,-0.39204584577536955,-0.22313812336795885,-0.12428605743047902,-0.26564428841373866,0.9656910279500028,0.4287733199978316,-0.09898251168206482,-0.20173914485224653,-0.08267749646159585,-0.610696644500579,-0.183613682816174,-0.4372165074501819,-0.3890790121729415,-0.06222040771048645
DHR,-0.3175516665308029,0.04230114536867103,0.06287623960768145,-0.34973607480778535,-0.2655847258269977,-0.2065522070708497,-0.09928563963344755,-0.18616499371073283,-0.22364954600141848,-1.1644829129074323,-0.5407765007461959,-0.3786246935156157,0.5206336321996317,0.06854010299985729
DIS,-0.2645618604706432,0.017119183094739632,-0.13960456741530355,-0.40502413954425864,-0.42252390901018816,-0.35536304481064956,-0.09964281347645627,-0.1782890921828951,1.126027298666882,-0.5694572415341114,0.03634472042038304,-0.1274661125316421,-0.4567625506571556,-0.7868419589827363
DOW,-0.527519660985247,-0.1244679964970062,-0.2535076238020862,-0.4262087384929036,-0.4964489296601853,-0.44934883706736534,-0.10031161995430156,0.29278453726070214,0.6665628409074607,1.763514697711781,-1.4353556481282705,-0.24951041059013102,-0.7823700818396886,-1.0060104301472688
DUK,-0.4449675443350147,-0.20005639150984153,-0.1725460345129753,-0.4182239125871242,-0.2498302132294573,-0.3005379993275655,-0.09948337352374918,-0.040904945231139064,-1.330541194240025,1.0094227577535126,-0.28060663028574195,-0.3562924585007184,0.12160666944100183,-0.07487208499425388
EMR,-0.4595878772122625,0.059685788554488306,-0.11094789285969098,-0.34428038661813654,-0.4158585382958442,-0.3014594286634156,-0.10004207635774054,-0.03942451261312445,0.8493043866072307,0.019677086558285727,0.4614385417280161,-0.37572231573767845,-0.048175766078721746,-0.32813868524355727
F,-0.5086334602385936,-0.27590765631256653,-0.4148104915404757,-0.4538411425611414,-0.5340173827773969,-0.5120060319051758,-0.10065466504899181,-0.05804835494774829,1.7473485540460998,2.0109511155105877,-1.0646213689671593,1.4798292357029983,-0.7951802430782263,-1.047128632040256
FDX,-0.4670220212523155,-0.21987899524057147,-0.2777302424228412,-0.38299587078541936,0.393075089308632,0.45549477073748595,-0.09836663085528305,-0.16555736574623894,0.5490861329576088,-0.42806500279193593,-0.6413850993066569,-0.41396034890441163,-0.9760520719089228,-0.8396861463174746
GD,-0.4624057473047253,-0.1951301023349252,-0.18869785546372994,-0.3568659085651251,0.2082625376836394,0.1481980872314595,-0.09899643467191263,-0.13399454825189788,-0.920678013170541,-0.01567097312725813,-0.5306235999746848,-0.43227181725823866,-0.6383991652334365,-0.5864196232130151
GE,-0.3026420383563828,-0.06982848583805742,0.1394380690935258,-0.07741046330332306,-0.28073329563232496,-0.3512166127993239,-0.10051088560210696,-0.20618044270629038,0.5778026615675723,-1.1585915696265083,1.490644905268752,-0.30744570475150607,-0.46938151545929724,-0.5075004477223474
GILD,-0.39969190962633433,9.623087057422794,-0.2820582485267651,-0.2231302496249896,-0.581886863362231,-0.25032010052373205,-0.10057060128270216,9.807021655759142,-2.0223484743891538,0.9858573846298168,-0.16857222588202997,-0.23012191476600155,-0.09138616070423698,-1.1617658703385276
GM,-0.4841173209441444,-0.3367519626052483,-0.43781128485476684,-0.4589803895879702,-0.019571952188482858,-0.10565569479525785,-0.09943529462777227,-0.24570799360728052,1.1677967948268295,1.0094227577535126,0.8603416978611312,-0.006345960377213458,-0.8053136542072189,-0.7287518605348938
GOOGL,2.901675914269664,-0.1447303519778539,-0.08435823067493253,-0.1698296563322324,-0.13045948316347844,-0.17983075633119522,-0.10032401118664558,-0.2441979523369056,0.17577126102807872,-1.3824626143016192,0.5944705612968825,0.4946502677962034,0.2952130336886472,0.9437485133419646
GS,-0.2965133144980817,-0.22343387518651406,-0.24811458436316072,-0.41635070777653943,1.4807424013311303,1.322099061104556,-0.09341971711758423,-0.1623004139866068,0.9798340621070665,-0.021562316408181976,1.0909977233429056,-0.40745804572229627,-1.3161905322575582,0.7053707908546586
HD,0.046499593899231535,-0.11379732190906533,0.03127096985556264,2.635630518071072,0.30460744164552084,0.12608378317105587,-0.10077608540873188,-0.08223862392610705,0.11572761029815395,-0.02745365968910608,-0.0641891669670699,-0.35832606129822336,-0.3885054228637532,-0.46707654942605237
HON,-0.34977413597300167,-0.13355004028970402,-0.09540439763526849,-0.12194722927195037,-0.06319983322782532,-0.08538424940655448,-0.10029760551624456,-0.11223218876708307,0.15227591943810798,-0.19830261483590125,-0.31238817947442216,-0.33541398819754215,-0.11910964398166925,-0.037765492138109424
IBM,-0.25239299518622327,-0.06159638017634144,-0.07871083734462711,-0.11201802518892383,-0.17166359303396858,-0.10381283612355757,-0.10030510426939741,0.027520662216957245,-0.6700610362108566,1.3805773844517233,0.6591654429416529,-0.32496237427186314,-0.18182207511958523,-0.4075207297986863
INTC,-0.4395118835520764,-0.3917632698029996,-0.09480411721888989,-0.4560889984156775,-0.8139629527798449,-0.5479417760033318,-0.10038148638611584,0.35691690788174746,0.154886512948105,0.29657022076171247,-2.405239715460097,2.5311021847007975,-0.5558023047103278,-3.4659280732273468
INTU,-0.2965676785513125,0.23301678406478238,0.10161464686756104,-0.05724635638805347,0.03738667027954776,0.431537608005382,-0.09940571113210223,-0.15771107879249197,0.7292170851473818,-1.023090674165257,-0.4645495877372162,-0.4268035864590864,-0.9760520719089228,0.20755511202642934
JNJ,-0.0446143642000887,-0.15435011653714112,-0.2456445215863363,-0.27416346468696484,-0.22013901641101588,-0.10427355079148265,-0.10024328527999105,-0.022073842329993196,-1.1712949901302254,0.21998275810970092,-0.836815615986439,-0.2259083505515757,-0.17264464617257314,0.09561794327084894
JPM,0.43547446793386635,-0.2609612876749199,-0.23852287426379382,-0.40334963892066455,0.5033566774914146,0.1786052553145146,-0.09827701161028565,-0.18421082265495356,0.3245750910978912,0.2376567879524727,0.7381581650868718,-0.165208698237157,-0.7374389192866085,1.3622591381694533
KHC,-0.513061002631714,-0.11161790379664407,-0.3221998537757953,-0.4599372915474299,-0.5200806985564959,-0.4511916957390656,-0.09999568925363347,0.16685896838103162,-1.2835505110600842,1.2980985785187873,-1.0887457156839555,-0.15379220705195104,-0.5569494833287042,-0.7916249084575664
KO,-0.1653362685732417,-0.13476269143399283,-0.08668363049364745,-0.04501963377313215,-0.441308135568794,-0.45579884241831636,-0.10076890672431117,-0.024649795085338634,-0.9050144521105606,0.3967230565374199,-0.4393904978869809,0.10234553196799132,0.27131347913913656,0.5358064235736346
LIN,-0.2615553990629686,-0.06792509621455317,0.013542638805029898,-0.2627535459855653,0.21189819443691785,0.18828026334094125,-0.0990287387518058,-0.13760680383985355,-0.04612918732164212,-0.5517832116913394,-0.4564732866330652,-0.4158386240306146,0.33115796373111117,0.29496022036555597
LLY,0.4863188328515855,0.4399574715404092,0.21414084329886235,1.691115713893715,-0.023207608941761326,0.45134833872616026,-0.1005477849545115,-0.09944125094743683,-1.401027219009936,-0.6519360474670469,0.47898118237287124,-0.34633258581647,2.4744700157312254,0.38406243812953006
LMT,-0.39556363171242215,-0.21621884570241062,-0.15908897813953893,0.21602842474731068,1.0880914719770471,0.7024378327453272,-0.10021210144066033,-0.12490470085988388,-1.2678869500001038,0.15517798201953703,-0.3217648001100707,-0.43931107756319443,-0.6183235394118476,-0.47378815086074255
